Nombre;Descripción;Tipo;Nivel de precio;Dirección;Comuna;Rating (1-5);Ranking en Santiago;Tipo de cocina;Consumo;Termómetro Vegano
Rali Restaurant;Rali es un restaurant ubicado en el corazón de Santiago, con hermosa decoración de artículos mapuches, en el podrás encontrar exquisitos platos de comida casera con menus diarios, hasta platos mas elaborados, tambien ofrece momentos dulces en sus desayunos y onces, ademas variedad en exquisitas empanadas y Churrascos. Rali abre sus puertas de Lunes a Viernes de 09:00 hasta las 20:00 hrs.;Restaurante;Económico;Calle Merced 830, Santiago 8320175 Chile;Santiago;No tiene;No está en el ranking; Chilena y Sudamericana;Servicio de mesa;Opciones veganas
El Café de Martina;No tiene;Cafetería;Económico;Orrego Luco 0130 Ubicado entre Av. Andrés Bello y Av. Providencia, Santiago 7510115 Chile;Providencia;5;#2.090 de 3.950 restaurantes en Santiago;Pizzería, Café, Comida callejera;Servicio de mesa;Opciones veganas
Gorky Paellas;La mejor Paella de Santiago. Pruebala en el local los dias Viernes al almuerzo o encargala cualquier dia para llevar o a domicilio.Ademas nuestra carta consta de una variedad de platos calientes como lasanas, carne mechada, quiche, ricas ensaladas y platos vegetarianos.De lunes a viernes tenemos un menu del dia a la hora de almuerzo, este incluye entrada, fondo, postre mas un jugo o un cafe espreso.Ademas tenemos exquisita pasteleria propia que puedes acompanar de nuestros excelentes te de hoja y cafe en grano.;Restaurante;Gama media;Pl. Egaña, 7790758 Ñuñoa, Región Metropolitana;Ñuñoa;4,7;#542 de 3.950 restaurantes en Santiago;Española;Comida para llevar y entrega a domicilio;Opciones veganas
Marliz;Café Marliz, inaugurado en el año 2010 en la comuna de Las Condes, en la Avenida Cristóbal Colón con Piacenza, alcanzando a lo largo de los años su reputación como una de las más exitosas cafeterías del sector y caracterizado desde el principio por su alta calidad. En la actualidad, Café Marliz, cuenta con unas 15 personas que trabajan diariamente para deleitar y servir a todos nuestros clientes con la más alta calidad y excelencia en sus productos. Somos un exquisito lugar de encuentro familiar y de amistad, ofreciendo excelencia en el servicio y desarrollando una fina y artesanal gama de productos de pastelería, helados y acompañados de una variedad de exquisitos tipos de café y todo ello en un ambiente de relajación y entretenimiento.;Cafetería;Gama media;Avenida Cristobal Colon, 6809, Santiago 8320000 Chile;Las Condes ;3,8;N.º 133 de 338 lugares de café y té en Santiago;Café y Postres;Servicio de mesa;Opciones veganas
Restaurante Neighbor;"Nuevo restaurant de barrio que ofrece pollos de libre pastoreo marinados y asados al carbón. Al igual que las costillas BBQ; sin hormonas y sin marinar. original carta de la verdadera pizza estilo napolitana. Gran variedad de papas fritas y acompañamientos. Pescado fresco. Helados artesanales. restaurant que recibe mascotas y sustentable.";Restaurante;Gama media;Avenida Vitacura 5456, Santiago 7630629 Chile;Vitacura;4,3;#1.840 de 3.950 restaurantes en Santiago;Pizzería;Servicio de mesa;Opciones veganas
Green Vitality;No tiene;Restaurante;Económico;Teatinos 432, 8340349 Santiago, Región Metropolitana;Santiago;4;#1.226 de 3.950 restaurantes en Santiago;Española y Latina;Buffet;Apto para vegetarianos y  opciones veganas
Manouche Pizza Club;No tiene;Restaurante;Económico;Bombero Nunez #231, Santiago 8420432 Chile;Recoleta;3,3;#2.499 de 3.950 restaurantes en Santiago;Pizzería;Servicio de mesa;Opciones veganas
Falafel Asly;No tiene;Restaurante;Económico;Avenida Las Condes 8400, Santiago 7560300 Chile;Las Condes ;4,3;#673 de 3.950 restaurantes en Santiago;Latina y Comida rápida;Entrega a domicilio;Apto para vegetarianos y  opciones veganas 
Café Isla Verde;No tiene;Restaurante;Gama media;Dr. Johow 889-a, Ñuñoa, Región Metropolitana;Ñuñoa;4;#1.210 de 3.950 restaurantes en Santiago;Italiana y Latina;Comida para llevar y servicio de mesa;Opciones veganas
Verde Que Te Quiero Verde;"El Verde Que Te Quiero Verde es un moderno restaurant ubicado en el corazón del barrio Yungay (Santiago centro). 
Nuestra propuesta de inspiración vegetariana busca entregar a los comensales platos hechos con ingredientes seleccionados de la temporada, naturales y donde siempre buscamos excluir productos industriales. En El Verde, apostamos por una comida sana, pero no aburrida, preparada y montada con originalidad. Buscamos entregar sabores nuevos que sorprendan al llegar a la mesa. 
El Verde es atendidos por sus dueños, Claudia y Julien quienes llevan varios años en cocina.";Restaurante;Gama media;Huerfanos 3020, Santiago, Santiago 8350526 Chile;Santiago;4,2;#651 de 3.950 restaurantes en Santiago;Francesa;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
Zoliakie Kaffe;Cafetería especializada en comidas sin gluten. variedad de postres, quiches, empanadas, completos, hamburguesas, café de especialidad, jugos, etc...;Restaurante;Económico;Providencia 2546, Santiago 8320000 Chile;Providencia;4,7;#48 de 153 postres en Santiago;Café;Comida para llevar y servicio de mesa;Opciones veganas y opciones sin gluten
Tea Connection;No tiene;Restaurante;Gama media;Av. Pedro de Valdivia 0129, 7501012 Providencia, Región Metropolitana;Providencia ;3,9;#240 de 3.950 restaurantes en Santiago;Café;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y  opciones sin gluten
P.F. Chang's;No tiene;Restaurante;Gama media;Presidente Kennedy 5413 Mall Parque Arauco, Santiago 8320000 Chile;Las Condes ;3,6;#394 de 3.950 restaurantes en Santiago;China y Sushi;Servicio de mesa;Apto para vegetarianos, opciones veganas y  opciones sin gluten
Crepes & Waffles;No tiene;Restaurante;Gama media;Avenida Andrés Bello 2447 Local 512 (Mall Costanera Center), Santiago 8320000 Chile;Providencia;4,1;#19 de 153 postres en Santiago;Postres;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Quimey Sushi Fusion &Gluten Free;Primer y único Sushi 100% Libre de Gluten en Chile, además de Pizzas, Sándwich y Pastelería 100% Libre de Gluten;Restaurante;Gama media;Avenida Apoquindo 3161 Local 17, Santiago 7550217 Chile;Las Condes ;3,8;#1.093 de 3.950 restaurantes en Santiago;Japonesa y Sushi;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas
Ram Salaam;No tiene;Restaurante;Gama media;Santa Isabel 429, Santiago Chile;Providencia;3,9;#460 de 3.950 restaurantes en Santiago;India y Asiática;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas 
La fraternal;No tiene;Restaurante;Gama media;Holanda 3362, 7790927 Ñuñoa, Región Metropolitana;Ñuñoa;3,3;#1.904 de 3,950 restaurantes en Santiago;Casera y Vegetariana;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas
Donde Naresh;No tiene;Restaurante;Gama media;Esmeralda 716, 8320049 Santiago, Región Metropolitana;Santiago;3,8;#988 de 3.950 restaurantes en Santiago;India y Asiática;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas
Pita House;No tiene;Restaurante;Económico;Av Vitacura 5480, 7630628 Vitacura, Región Metropolitana;Vitacura;4;#914 de 3.950 restaurantes en Santiago;Árabe;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas
Felipe Didier;No tiene;Restaurante;Económico;Los Piñones 43, Santiago 8320000 Chile;Providencia;3,8;#903 de 3.950 restaurantes en Santiago;Italiana y Sudamericana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas
Bar Badalú;No tiene;Bar;Económico;Av. Italia 1228 Esquina Santa Isabel, Santiago 4810721 Chile;Providencia;4,4;#42 de 101 bares y pubs en Santiago;Tragos;Servicio de mesa;Apto para vegetarianos y opciones veganas
Bar Italia;No tiene;Restaurante;Gama media;Avenida Italia 1423 Providencia, Santiago 7501464 Chile;Providencia;3,8;#397 of 3.950 restaurantes en Santiago;Contemporánea y Vegetariana;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten 
PastaPazza;No tiene;Restaurante;Gama media;Av. Los Conquistadores 2248 Providencia, Santiago 8320000 Chile;Providencia;4,6;#50 de 245 restaurants en Providencia;Italiana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Mamma Lucia;No tiene;Cafetería;Gama media;Av. Chicureo 3100 Strip Center Valle Hermoso, Colina, local 15, Santiago 8320000 Chile;;3,6;#84 de 338 lugares de café y té en Santiago;Café;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
156. Espacio Rest;Rest es un lugar para hacer una pausa en la ciudad, comer tranquilo y sano todos los días.;Restaurante;Gama media;San Ignacio De Loyola 30, Santiago 8330180 Chile;Santiago;4,6;#914 de 3.950 restaurantes en Santiago;Fusión y saludable;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas 
Tempura Japanese and Thai;No tiene;Restaurante;Gama media;avda pdte kennedy 5413 pque Arauco, Santiago Chile;Las Condes ;3,9;#326 de 3.950 restaurantes en Santiago;Japonesa y Thai;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
El Taller;No tiene;Cafetería;Gama media;Avenida Providencia 1467, Santiago 7500564 Chile;Providencia;4,3;N.º 17 de 338 lugares de café y té en Santiago;Café y Postres;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Take a Wok;No tiene;Restaurante;Económico;Avenida Andres Bello 2447 Mall Costanera Center, Santiago 7510689 Chile;Providencia;3,8;#534 de 3.950 restaurantes en Santiago;Asiática y Comida rápida;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos
Margó Gourmet;No tiene;Restaurante;Gama media;Isidora Goyenechea 3000 S-101 Plaza Perú, Santiago 7550653 Chile;Las Condes ;3,8;#764 de 3.950 restaurantes en Santiago;Internacional;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Callejon Thai;No tiene;Restaurante;Gama media;Pedro Aguirre Cerda #50;La Cisterna;4,6;#682 de 3.950 restaurantes en Santiago;Thai;Servicio de mesa;Apto para vegetarianos y  opciones veganas 
Everyday;No tiene;Restaurante;Gama media;Santa Magdalena,134, Santiago Chile;Providencia;4,2;#613 de 3.950 restaurantes en Santiago;China y Japonesa;Servicio de mesa;Apto para vegetarianos y opciones veganas
148. Casa Cousiño;Restaurante Sandwichería ubicado en el centro de Santiago. Un oasis para descansar del ajetreo y bullicio de la capital y disfrutar de una excelente atención y sabores. Venga y disfrute de nuestras exquisitas hamburguesas caseras y deliciosos zumos naturales de frutas.;Restaurante;Económico;Huerfanos 1460 Intendente Cousiño 263, Santiago 8340431 Chile;Santiago;4,4;#779 de 3.950 restaurantes en Santiago;Saludable;Servicio de mesa;Apto para vegetarianos y opciones veganas
Puelo Cafe;No tiene;Restaurante y cafetería;Gama media;Las Catalpas 1522, 7630578 Santiago, Vitacura, Región Metropolitana;Vitacura;3,8;#917 de 3.950 restaurantes en Santiago;Café;Servicio de mesa;Opciones veganas
Dónde el Nano Sandwichería;Los mejores sandwichs de la vega central y sus alrededores.;Restaurante;Económico;Antonia lopez de Bello 743 Local 235, Santiago Chile;Recoleta;4,6;#767 de 3.950 restaurantes en Santiago;Comida rápida;Comida para llevar;Opciones veganas
De Botto Al Cafe;No tiene;Restaurante y cafetería;Gama media;Macul 2620, Santiago Chile;Macul;4,5;#662 de 3.950 restaurantes en Santiago;Café;Servicio de mesa;Apto para vegetarianos y opciones veganas
Patagonia Schokoland;La casa del chocolate y cafetería ambientada como una casa del sur, muy acogedora. Toda la magia del sur en Santiago. Carta muy variada en sabores, helados artesanales, churros, chocolates, pastelería sureña, cafés tradicionales y especiales y agua de lluvia de Valdivia. Además durante la semana tenemos un menú patagónico, siempre con un toque regional, ensaladas y sándwiches.;Cafetería;Gama media;Av. Francisco Bilbao 2512 Las Condes, entre calles Roger de Flor y Don Carlos, Santiago 7760000 Chile;Las Condes ;4;#59 de 153 postres en Santiago;Café y Postres;Comida para llevar, entrega a domicilio;Apto para vegetarianos y opciones veganas 
Restaurant Polen;POLEN restaurant and meeting place for diffusion of healthy food. Las Urbinas 53 Local 70J , Drugstore Providencia, Santiago , Chile;Restaurante;Gama media;Las Urbinas 53, Santiago 7510093 Chile;Providencia;4,6;#437 de 3.950 restaurantes en Santiago;Casera y Vegetariana;Comida para llevar, Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten 
Hocha;No tiene;Restaurante;Gama media;Av. Nueva Providencia 1346, 7500589 Providencia, Región Metropolitana;Providencia;3,5;#891 de 3.950 restaurantes en Santiago;Asiática y Taiwanesa;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Cassis Los Dominicos;No tiene;Restaurante y cafetería;Gama media;Av. Padre Hurtado Sur 875, 7571626 Las Condes, Región Metropolitana;Las Condes ;3,5;#1.061 de 3.950 restaurantes en Santiago;Café y Chilena;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Papelón Sabroso;Restaurante familiar que ofrece platos típicos venezolanos. Arepas, cachapas, empanadas y pabellón criollo son nuestra especialidad en Papelón. Disfrútelos con nuestra bebida favorita: ¡papelón con limón! Ofrecemos platos para servir y para llevar. También contamos con servicio a domicilio de lunes a viernes, de 16:00 a 20:00 h.;Restaurante;Económico;Dentro de la plaza, del lado de - Av. Providencia 1669, 7500540 Providencia, Región Metropolitana;Providencia;4,3;#423 de 3.950 restaurantes en Santiago;Caribeña y Latina;Comida para llevar, entrega a domicilio y servicio de mesa;Opciones veganas
El Chancho Seis;Vegan Vegetarian Food;Restaurante y Bar;Gama media;Huerfanos 3025 Santiago Centro, Santiago Chile;Santiago;4;#855 de 3.950 restaurantes en Santiago;Bar;Servicio de mesa;Apto para vegetarianos y opciones veganas
La Fábrica Gourmet;No tiene;Restaurante;Gama media;Pérez Valenzuela, 1687, Santiago 8320000 Chile;Providencia;4,1;#492 de 3.950 restaurantes en Santiago;Café y Postres;Entrega a domicilio y Servicio de mesa;Apto para vegetarianos y opciones veganas
Pizzeria Tio Tomate;No tiene;Restaurante;Gama media;Avenida Italia 975, Santiago 7501184 Chile;Providencia;3,9;#253 de 3.950 restaurantes en Santiago;Italiana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
La Casa de La gata Horacia;"La Casa de la Gata Horacia es el primer centro integral para amantes de los gatos en Sudamérica. No busca emular lugares similares en el mundo; al contrario, es un espacio que busca contribuir a los valores del respeto animal en una sociedad que no los considera iguales. La Casa de la Gata Horaria es una cafetería vegetariana donde los gatos rescatados por la Fundación Adopta son sus anfitriones. Son gatos que han vivido en el abandono, pero hoy disfrutan de la comodidad de una casa diseñada especialmente para ellos. Son tus compañeros cuando vas a comer. Se acuestan en tus piernas o te observan desde los diversos juegos que se desarrollan en el lugar. También te acompañan en clases de yoga. Te esperamos para que seas parte de esta experiencia.";Restaurante y cafetería;Gama media;Julio Prado 765 Julio prado con, Dr. Torres Boonen, 7501072 Providencia, Región Metropolitana;Providencia;4,2;#765 of 3.950 restaurantes en Santiago;Café, Postres y Saludable;Servicio de mesa;Apto para vegetarianos y opciones veganas 
Govindas Restaurant Vegetariano;"Casero, Vegano. sin huevo, nada de incómodos momentos de “¿esto tiene pescado?” “el pollo no es carne”. No te preocupes. Más de 15 años poniendo tu corazón muy feliz!
 Govindas es una familia muy bella que cada día crece mas en Santiago, nuestra visión/misión es mostrar la culinaria vegetariana y vegana de la forma mas práctica. Enseñamos a la comunidad la forma en como ellos mismos pueden hacer s";Restaurante;Económico;Avenida Ricardo Cumming 643, Santiago 8340300 Chile;Santiago;4,7;#690 de 3.950 restaurantes en Santiago;India y Chilena;Servicio de mesa;Apto para vegetarianos y opciones veganas
Sátvico;CAFETERÍA Y TETERÍA DE ESPECIALIDAD Trabajamos con nuestro propio café, gracias a eso, podemos ofrecer un café recién tostado con los más altos estándares de calidad. Además puedes disfrutar de nuestras doce variedades de tés orgánicos en teteras servidos en la temperatura perfecta. COCINA Ofrecemos una carta lacto-vegetariana con opciones veganas y omniboras. Pizzas, Ensaladas, Sandwich, Prensados, Carpacho de Salmón, Provoletas, Quesadillas, Ceviche de Champiñón y más! PASTELERÍA BELGA Toda la pastelería corresponde a la interpretación de recetas europeas y belgas fabricada con materia prima importada. Tortas, Cinnamon Roll, Volcán Belga, Muffins, Waffles y mucho más podrás disfrutar a toda hora! PRODUCTOS LIBRES Ahora todos podemos disfrutar de la comida rica y sana sin Gluten y TACC, Libre de Leche, caseína, lactosa, soya, huevo, frutos secos, maní y colorantes en Cupcakes, Brownies, Galletas y Pan de Linaza con que preparamos los exquisitos Montaditos! También puedes disfrutar de Leches de Almendra fresca con la que tenemos diversas preparaciones en cafetería además de poder adquirirla para llevar! Consulta por disponibilidad o inscripciones mensuales. BOUTIQUE Y ALMACÉN Sátvico Boutique ofrece una amplia gama de productos hechos a mano en su mayoría. Vestuario Mujer, Hombre, Niño y Bebe, Joyería, Papelería y Decoración, son algunas de las cosas que podrás encontrar. En Almacén tenemos productos gourmet para llevar como los Pepinos By María, Amma Ghee y mucho más! INSTALACIONES Disfruta con toda tu familia en Sátvico. Tenemos un entretenido sector niños pensado para ellos donde podrán pintar y leer libros. Puedes mudar a tus hijos en los baños (hombre y mujer) y sentarlos a la mesa en bellas sillas de madera! Si vienes con tu mascota, tenemos un sector y un menú pensado para ellas. CAFÉ CONCERT Que mejor que terminar la semana pasándolo bien, te esperamos los domingos a disfrutar de la mejor selección de música en vivo que tenemos para ti. Ideal para venir con toda la familia, amigos, pareja, etc. ESTACIONAMIENTO DE BICICLETAS Si vienes en bicicleta, tenemos un estacionamiento especial para ti. El Taller Blanco nos facilita sus instalaciones para que puedas estar más a gusto a la hora de estacionar a tu compañera de viajes. Sólo acércate a cualquiera de nosotros y te ayudaremos enseguida!;Restaurante;Gama media;Echeñique 4844, Ñuñoa El Taller Blanco, Santiago 7790389 Chile;Ñuñoa;4,6;#823 de 3.950 restaurantes en Santiago;Pizzería y Café;Servicio de mesa;Apto para vegetarianos y opciones veganas
Super Delicious;No tiene;Restaurante;Gama media;Avenida Apoquindo, 3910, Santiago 8320000 Chile;Las Condes ;3,7;#1.121 de 3.950 restaurantes en Santiago;Café;Comida para llevar;Apto para vegetarianos y opciones veganas
Harina Gourmet;No tiene;Restaurante;Gama media;Geronimo de Alderete 1595, Santiago 8320000 Chile;Vitacura;4,5;#32 de 153 postres en Santiago;Italiana y postres;Comida para llevar;Opciones veganas y opciones sin gluten 
PezToro Providencia;Ven a vivir la experiencia de viajar a traves de los sabores...;Restaurante;Gama media;Guardia Vieja 156, Providencia, Santiago Con intersección Calle Diego de Velasquez, Santiago Chile;Providencia;4,1;#546 de 3.950 restaurantes en Santiago;Contemporánea y Vegetariana;Comida para llevar y servicio de mesa;Opciones veganas
Palacio Danubio Azul;El Mejor Restaurant Chino - Americano de la Ciudad...;Restaurante;Más caro;Reyes Lavalle 3240 Near Metro El Golf - Las Condes, Santiago 7550142 Chile;Las Condes ;4,1;#300 de 3.950 restaurantes en Santiago;China y Asiática;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
La Mafia Pizzería;Pizzería con el más puro estilo italiano! Llévate tu trozo de pizza con los mejores ingredientes importados!;Restaurante;Económico;Avenida Manuel Montt 183 Local 2 Providencia, Santiago 7500599 Chile;Providencia;4,2;#16 de 82 tentempiés en Santiago;Pizzería;Comida para llevar y entrega a domicilio;Apto para vegetarianos y opciones veganas
Los Insaciables Ristorante;"Pizza y pasta, cocina italiana. 14 tipos de pizza, deliciosas. Puedes optar por el sistema de ""come todo lo que puedas"".";Restaurante;Gama media;Padre Alfredo Arteaga Barros 1831, Santiago 7690000 Chile;Lo Barnechea;3,9;#200 de 3.950 restaurantes en Santiago;Italiana y Pizzería;Servicio de mesa;Apto para vegetarianos y opciones veganas
Glück RestoBar;No tiene;Restaurante y Bar;Gama media;Irarrázaval 689, Santiago Chile;Ñuñoa;5;#27 de 101 bares y pubs en Santiago;Bar;Servicio de mesa;Apto para vegetarianos y opciones veganas
Sukine;No tiene;Restaurante;Económico;Antonia López de Bello 244 Barrio Bellavista, Santiago 8320000 Chile;Santiago;4,2;#263 de 3.950 restaurantes en Santiago;Asiática y Coreana;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
California Cantina;CALIFORNIA CANTINA: * Horario apertura: LUN a VIE 16:00 hrs / SAB-DOM 13:00 hrs * Happy Hour 7 Días a La Semana * Starters, Flatbread Pizzas, Ensaladas, Burritos, Tacos y Quesadillas Mexicanas, Increíbles Hamburguesas * Abierto para Almuerzos Sábados y Domingos (desde 13:00hrs) * 12 Variedades de Schop, Cocktails & Mojitos exclusivos, Vinos Chilenos * Fútbol Nacional e Internacional, NFL - NCAA - NBA - MLB - NHL * Diferentes Ambientes, Terrazas en Primer y Segundo Piso * Música en vivo y Dj's * Nuestro objetivo es hacerte sentir como en casa, acompañado de excelente comida y servicio.;Restaurante y Bar;Gama media;Las Urbinas 44/56, Santiago 8320000 Chile;Providencia;3,8;#202 de 3.950 restaurantes en Santiago;Bar;Servicio de mesa;Apto para vegetarianos y opciones veganas
Roberta Restobar;En el Barrio Italia, conocido por sus tiendas de diseño, se encuentra Roberta Restobar, un bar restaurante con una gran terraza interior, rodeada de plantas. Ven a disfrutar nuestros platos y piquéos acompañando de un rico trago en un ambiente agradable con la mejor música.;Restaurante y Bar;Gama media;Condell 1315, Providencia, Santiago 7500000 Chile;Providencia;3,9;#550 de 3.950 restaurantes en Santiago;Bar;Servicio de mesa;Opciones veganas
Mestizaje;No tiene;Restaurante y Cafetería;Gama media;Avenida Vitacura 3187, Santiago Chile;Vitacura;4,5;N.º 12 de 338 lugares de café y té en Santiago;Francesa y Panadería;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
Bocacalle;No tiene;Restaurante y Bar;Gama media;Dr. Manuel Barros Borgoño 81 Barrio Manuel Montt, Santiago 7500000 Chile;Providencia;4,5;#28 de 101 bares y pubs en Santiago;Bar;Servicio de mesa;Apto para vegetarianos y opciones veganas
Vapiano Pedro de Valdivia;¡Bienvenido a VAPIANO! En VAPIANO, disfruta de pasta fresca, pizza, antipasti, ensalada, risotto o nuestros dolci en un ambiente mediterráneo. Nuestros Vapiansiti preparan tu plato favorito fresco, justo delante de tus ojos, especialmente para ti. Con carne extra, vegetariano o vegano, tus preferencias personales se respetan durante la preparación. ¡Frescura absoluta que garantiza un sabor excepcional!;Restaurante;Gama media;Av. Providencia 1984, 7500000 Providencia, Región Metropolitana;Providencia ;3,6;#582 de 3.950 restaurantes en Santiago;Pizzería;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas 
Café Montenegro;"Café Montenegro es una acogedora cafetería de barrio.
Nos mueve la pasión por la cocina, es por eso que nos preocupamos que todo lo que ofrecemos sea de primer nivel. Café italiano, tés orgánicos, exquisita pastelería, sandwichs gourmets, además de ricos almuerzos de lunes a lunes, creados por nuestro Chef. Los esperamos con buena música, rica terraza, cicletero, WIFI y Aire Acondicionado.";Cafetería;Económico;Batlle y Ordonez 4385 Nunoa, Santiago 8320000 Chile;Ñuñoa;3,8;#518 de 3.950 restaurantes en Santiago;Café;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Tasty Beat;Tasty Beat es una alternativa rápida, fresca y natural para tu alimentación de cada día. Somos un concepto nuevo en alimentación desarrollado por personas a las que realmente les apasiona la comida y lo que hacen.;Restaurante;Gama media;Magdalena 181, Santiago 8320000 Chile;Las Condes ;4,1;#912 de 3.950 restaurantes en Santiago;Café e Internacional;Comida para llevar;Apto para vegetarianos y opciones veganas
Oculto Beergarden;No tiene;Restaurante;Gama media;Gral. Salvo 38, 7500 669, 7500669 Providencia, Región Metropolitana;Providencia;4,4;#401 de 3.950 restaurantes en Santiago;Bar;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas 
