Nombre;Descripción;Tipo;Nivel de precio;Dirección;Comuna;Rating (1-5);Ranking en Santiago;Tipo de cocina;Consumo;Termómetro Vegano
Qb Restaurant & Bar;"QB Restaurant se encuentra en una ""esquina simpática"" que, a través de su estilo de comida, invita a disfrutar de un grato ambiente. Un lugar para ir todos los días.";Restaurante y Bar;Gama media;Av. Vitacura 2727 DoubleTree by Hilton Hotel Santiago - Vitacura, Santiago 7550690 Chile;Vitacura;4,1;#211 de 3.950 restaurantes en Santiago;Internacional y Vegetariana;Servicio de mesa;Apto para vegetarianos y opciones veganas
Sushi Sesamo;"
Con una visión moderna y una propuesta creativa en la cocina japonesa, Sushi Sesame se inauguró en agosto de 2001, combinando los elementos esenciales de la cultura oriental con la sofisticación occidental. En un ambiente minimalista, luminoso y moderno, creamos un ambiente agradable y acogedor, que se complementa con la calidez de nuestra atención y la exclusividad de nuestros platos.";Restaurante;Más caro;Lo Marcoleta # 261, Quilicura 22, 6277625 Santiago, Región Metropolitana;Santiago;4,8;#571 de 3.950 restaurantes en Santiago;Bar y Japonesa;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Centro Gastronomico Borderío;No tiene;Restaurante;Gama media;Costanera Sur S.J.E. de Balaguer 6400, 7640859 Vitacura, Región Metropolitana;Vitacura;4,3;#453 de 3.950 restaurantes en Santiago;Japonesa y Mariscos;Comida para llevar y servicio de mesa;Opciones veganas y opciones sin gluten
Pícara Pájara Pizzería;We make our pizzas with fresh ingredients and love.;Restaurante;Económico;Octava Avenida 1201 San Miguel, Santiago 8920441 Chile;San Miguel;4,8;#465 de 3.950 restaurantes en Santiago;Pizzería;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
Himalaya Comida India;No tiene;Restaurante;Más caro;Irarrázaval 1820, Santiago 7750000 Chile;Ñuñoa;4,2;#370 de 3.950 restaurantes en Santiago;India;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Green Pizza;No tiene;Restaurante;Gama media;Av. La Dehesa 3265, 7700239 Santiago, Lo Barnechea, Región Metropolitana;Lo Barnechea;4,7;#319 de 3.950 restaurantes en Santiago;Pizzería e Italiana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas 
Curry & Kabab;No tiene;Restaurante;Gama media;General Holley 2368, Santiago 7510019 Chile;Providencia;4,3;#457 de 3.950 restaurantes en Santiago;India;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Habia Una Vez;No tiene;Cafetería;Gama media;Antonia López de Bello 307, 8420411 Recoleta, Región Metropolitana;Recoleta;4,4;#10 de 338 lugares de café y té en Santiago;Café y Postres;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten 
Café de la Candelaria;Aquí encontrará café de especialidad con productos gourmet de producción propia que destacan en el mercado por su calidad y presentación. Pasteles, tartas de queso, kuchen, galletas, sándwiches con nuestro delicioso pan, ensaladas, opciones vegetarianas, sin harina, sin azúcar, desayunos, almuerzos, onces y snacks. Vinos, cervezas, espumosos, jugos naturales y helados. Un lugar increíble donde podrá vivir una experiencia inolvidable.;Cafetería;Gama media;Av. Italia 1449, 7501464 Providencia, Región Metropolitana;Providencia;3,7;#22 de 338 lugares de café y té en Santiago;Café y Chilena;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas 
Café Forestal;No tiene;Cafetería;Gama media;Ismael Valdes Vergara 490 Barrio Bellas Artes, Santiago 8320075 Chile;Santiago;4,8;N.º 9 de 338 lugares de café y té en Santiago;Café;Comida para llevar y servicio de mesa;Opciones veganas
Verace;Lugar ideal para comer verdaderas pizzas a la piedra y helados 100% artesanales.;Restaurante;Gama media;Jose Miguel de La Barra 486, Santiago 8320110 Chile;Santiago;4,1;#377 de 3.950 restaurantes en Santiago;Pizzería e Italiana;Comida para llevar, entrega a domicilio y servicio de mesa;Opciones veganas
Pardeshi Tadka;Pequeño restaurante indio con cocina casera. Usamos especias auténticas y enteras, sin colorantes, y preparamos todo artesanalmente.;Restaurante;Económico;Holanda 067 Local 103, Santiago Chile;Providencia;4,8;#355 de 3.950 restaurantes en Santiago;India;Servicio de mesa;Apto para vegetarianos y  opciones veganas 
Thai Express;No tiene;Restaurante;Económico;Merced 483, Santiago 8320000 Chile;Santiago;4;#7 de 82 tentempiés en Santiago;Thai;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Vegan Bunker;No tiene;Restaurante;Gama media;Fresia 529, Santiago 8320000 Chile;Providencia ;4;#418 de 3.950 restaurantes en Santiago;Vegetariana;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
La Pizza Nostra;No tiene;Restaurante;Gama media;Avenida Providencia 1975, Santiago 22318941 Chile;Providencia;3,9;#173 de 3.950 restaurantes en Santiago;Pizzería;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas
Rooftop Bar The Singular;With a privileged view of the San Cristobal hill and a bar with 115 liquors to choose from, our Rooftop Bar is considered one of the best terraces in Santiago. Focused on preparing signature drinks, our team of bartenders takes care of every detail to make time spent in this space something special and unique. Rooftop Bar The Singular Santiago is not subject to reservations. Attention in order of arrival and availability.;Bar;Más caro;Merced 294 The Singular Hotels, Barrio Lastarria, Santiago 8320128 Chile;Santiago;4,5;#139 de 3.950 restaurantes en Santiago;Bar y Vegetariana;Servicio de mesa;Apto para vegetarianos y opciones veganas
Amadeus;"Somos un cafe bar  bistro
especialistas en cervezas del mundo 
y vinos de Chile ofrecemos excelentes maridajes 
somos una experiencia culinaria 
visitanos en Santiago de chile";Restaurante;Gama media;Avenida General Bustamante 50, Santiago 7500776 Chile;Santiago;4;#341 de 3.950 restaurantes en Santiago;Pizzería;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Jardín Mallinkrodt;No tiene;Restaurante;Gama media;Mallinkrodt 170, Santiago 7520362 Chile;Providencia ;4;#229 de 3.950 restaurantes en Santiago;Bar;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Thai Isan;No tiene;Restaurante;Económico;Huerfanos 2460, Santiago Chile;Santiago;4,4;#360 de 3.950 restaurantes en Santiago;Thai;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
Aldea Nativa;No tiene;Restaurante;Gama media;Avenida Tobalaba 1799, Santiago 7510447 Chile;Providencia;4;#483 de 3.950 restaurantes en Santiago;Saludable y vegetariana;Servicio en mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten 
Blue Jar;Blue Jar es un restaurant y café que sirve comida estacional de influencias diversas. Ofrece café de especialidad desde las 8 AM y sándwiches y happy hour en la tarde. Realiza eventos especiales y una cena con platos que no están en la carta los primeros jueves de cada mes. Su carta de vinos tiene viñas nacionales de producción sustentable. Su bakery es de elaboración propia.;Restaurante;Gama media;Profesora Amanda Labarca, 102, Santiago Chile;Santiago;4,4;#221 de 3.950 restaurantes en Santiago;Internacional y Vegetariana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Bao Bar;No tiene;Restaurante y Bar;Gama media;Av. Manuel Montt 925, Santiago 7500981 Chile;Providencia ;4,6;#244 de 3.950 restaurantes en Santiago;Bar y Asiática;Servicio de mesa;Apto para vegetarianos y opciones veganas
Route 66;OUR ROUTE Nuestra misión es ofrecer en cada visita lo mejor de la gastronomía americana e internacional con el compromiso de calidad que caracteriza a Route 66. Vive la auténtica experiencia de Route 66……Restaurant, Bar & Pastries!!!;Restaurante y Bar;Gama media;Isidora Goyenechea 2960 esquina San Sebastian, Santiago 7550057 Chile;Las Condes ;4,2;#150 de 3.950 restaurantes en Santiago;Bar y Americana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Pad Thai;No tiene;Restaurante;Gama media;Av Manuel Montt 231, Santiago Chile;Providencia;4,2;#270 de 3.950 restaurantes en Santiago;Thai;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
 El Árbol Restaurant;"El Árbol es un restaurant Vegetariano y Vegano que busca generar una opción gastronómica y nutricional que apoye el ""no consumo"" de carne y la ""disminución del consumo"" de lácteos y sus derivados.";Restaurante;Gama media;Huelén 74 Providencia, Santiago 8320000 Chile;Providencia ;4,3;#312 de 3.950 restaurantes en Santiago;Saludable y vegetariana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Croq Délice;Te esperamos en nuestra cafeteria y creperia francesa, desde el desayuno hasta la cena. Tenemos café de especialidad, chocolate caliente, los mejores Croques hecho con nuestro pan casero, los crêpes estan hechas con harina integral;Restaurante;Económico;Merced 537, Santiago Chile;Santiago;4,9;#251 de 3.950 restaurantes en Santiago;Francesa y  vegetariana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Tea Connection;No tiene;;Gama media;Avenida Pedro de Valdivia 0129, Santiago Chile;Providencia;4,2;#241 de 3.950 restaurantes en Santiago;Café y Saludable;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Vapiano Parque Arauco;Welcome to VAPIANO! At VAPIANO you enjoy fresh pasta, pizza, antipasti, salad, risotto or our dolci in mediterranean atmosphere. Our Vapiansiti prepare your favourite dish fresh in front of your eyes, especially for you. Extra meat, vegetarian or vegan, your personal preferences are respected during the preparation of the dish. Uncompromised freshness guarantees exceptional taste!;Restaurante;Gama media;Avenida Presidente Kennedy 5413 CC Parque Arauco, Local 393, Santiago 7560994 Chile;Las Condes ;4,2;#238 de 3.950 restaurantes en Santiago;Pizzería;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Mulato;No tiene;Restaurante;Gama media;Jose Victorino Lastarria 307, Santiago 8320126 Chile;Santiago;4,3;#113 de 3.950 restaurantes en Santiago;Latina y Mariscos;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
Giratorio Restaurant;No tiene;Restaurante;Económico;Av. Nueva Providencia 2250, 7500000 Providencia, Región Metropolitana;Providencia;4,1;#102 de 3.950 restaurantes en Santiago;Latina y Mariscos;Servicio de mesa;Apto para vegetarianos y  opciones veganas
Trattoria Rita;"
El mejor Restaurante Italiano de Santiago. Ensaladas, pastas y pizzas. En el Boulevard Parque Arauco y Mirador del Alto Las Condes";Restaurante;Gama media;Avenida Presidente Kennedy 5413, Santiago 7550000 Chile;Las Condes ;4,3;#120 de 3.950 restaurantes en Santiago;Italiana y Vegetariana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas
El Naturista;No tiene;Restaurante;Gama media;Moneda 846, Santiago Chile;Santiago;4,1;#260 de 3.950 restaurantes en Santiago;Saludable y Chilena;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Ruca Bar;"Ruca Bar estará cerrado por vacaciones de Navidad desde el día 24 de Diciembre hasta el día 2 de Enero incluido. Disculpen las molestias.

Ruca Bar es un nuevo concepto auto definido como ""Bar de Tapas Gourmet"" y está ubicado en el corazón del emergente Barrio Italia. 

La propuesta del Ruca Bar consiste en fusionar varios conceptos clave con el fin de entregar una experiencia única al cliente: ambiente internacional, fomentado por su staff (principalmente europeos de diferentes nacionalidades); la fusión del concepto de las ""tapas"" tradicionales españolas con lo contemporáneo y gourmet acompañado de una excelente selección de cócteles, tragos y vinos a un precio muy asequible; y la excelencia en el servicio. Queremos romper con el típico concepto tradicional de restaurante o bar, separándo lo gourmet de lo formal y caro, creando un ambiente distendido de bar informal en el que se puede disfrutar de la gente y de la música, pero comiendo y bebiendo como en uno de los mejores restaurantes y barras de Santiago.

Como el nombre indica, queremos que nuestros clientes se sientan como en casa. Les damos la bienvenida a nuestra Ruca.";Bar;Gama media;Avenida Condell 868, Santiago 7500000 Chile;Providencia;4,4;#8 de 101 bares y pubs en Santiago;Bar e Internacional;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
La Yunta, Sándwich & Bar;En La Yunta Sandwich & Bar tenemos comida chilena. Rica y deliciosa. Norte, sur, cordillera y costa. Ingredientes de origen, de todos los lugares, de todas las historias. ¡Viaja por Chile a través de sus sabores! Todas nuestras sucursales: Av. Manuel Montt 748, Porvidencia - Av. El Bosque Central 18, Las Condes - Av. Tabancura 1344, Vitacura;Restaurante y Bar;Gama media;Manuel Montt 748, 7500977 Providencia, Región Metropolitana;Providencia;4,4;#146 de 3.950 restaurantes en Santiago;Bar y Chilena;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas
Malasaña;This is a small neighborhood tavern that offers a range of beers, draft and bottled. It is know for their tradicional Spanish ambiance and their amazing burgers. They also have tapas, tortillas and croquetas that will make you feel in Madrid.;Restaurante;Gama media;Argomedo 60, Santiago 8330398 Chile;Santiago;4,4;#209 de 3.950 restaurantes en Santiago;Española y Bar;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
Tacu Tacu Providencia;No tiene;Restaurante y Bar;Gama media;Av. Andrés Bello 2233, Local 2217, 7510056 Providencia, Región Metropolitana;Providencia;4,8;#194 de 3.950 restaurantes en Santiago;Peruana y Latina;Comida para llevar, entrega a domicilio y servicio de mesa;Opciones veganas
Hansoban Korean Bbq;No tiene;Restaurante;Gama media;Rio de Janeiro 248, Santiago 8420413 Chile;Santiago;4,3;#178 de 3.950 restaurantes en Santiago;Coreana y Asiática;Servicio de mesa;Apto para vegetarianos y  opciones veganas
Romaria;No tiene;Restaurante;Gama media;Av Vitacura 3396 Casa9, Santiago 7630633 Chile;Vitacura;4,6;#149 de 3.950 restaurantes en Santiago;Italiana y Pizzería;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
In Pasta;We are a family bussiness from the south of Italy. We are a trattoria. Our specialita is pasta and gelatos.;Restaurante;Gama media;Santa Isabel 0395 Sta Isabel esquina avda Condell. Barrio Italia, Santiago 7501504 Chile;Providencia;4,7;#182 de 3.950 restaurantes en Santiago;Italiana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Siam Thai;Somos un restaurante de comida tailandesa. Actualmente ubicado en el barrio Italia, fruto de un incendio en nuestra antigua cocina. Muchos viajeros nos recomiendan por ser un lugar acogedor con sabores exquisitos. Nuestras preparaciones y ambiente buscan brindar la mejor experiencia y diferenciarnos de lo que se conoce. Siam Thai, una mezcla de tradición y modernidad. Actualmente estamos a la espera de la patente de alcoholes de la Municipalidad de Providencia (ofrecemos la opción de descorchar) y somos gay friendly.;Restaurante;Gama media;Av. Italia 1139, 7501295 Santiago, Providencia, Región Metropolitana;Providencia;4;#234 de 3.950 restaurantes en Santiago;Thai;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten 
El Mesón Nerudiano;Notiene;Restaurante;Gama media;Rosal 361 Barrio Lastarria, Santiago 8320144 Chile;Santiago;4,3;#110 de 3.950 restaurantes en Santiago;Latina y Mariscos;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
VOP;No tiene;Restaurante;Gama media;Augusto Leguia Norte, 224, Santiago 8320000 Chile;Las Condes ;4,5;#269 de 3.950 restaurantes en Santiago;Café y Sopas;Entrega a domicilio y Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Ootoya - Ramen & Noodles House;No tiene;Restaurante;Gama media;Constitución 125, 7520360 Santiago, Providencia, Región Metropolitana;Providencia;4,6;#186 de 3.950 restaurantes en Santiago;Japonesa y Sushi;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas
Piso Uno;En Piso Uno, capturamos la frescura del mar y la riqueza de la tierra para fusionar la mejor cocina peruana y japonesa, una experiencia nikkei inigualable. Cada plato es una obra de arte que combina Desde los sabores más delicados del pescado hasta los cortes más exquisitos de carne. Siempre con los mejores DJs de Santiago y en un ambiente de lujo y sofisticación, te invitamos a vivir una experiencia gastronómica y sensorial única. Bienvenidos a Piso Uno, la verdadera fiesta nikkei;Restaurante;Más caro;Santa Magdalena 116 Pasaje Interior, Santiago 7510057 Chile;Providencia;4,3;#83 de 3.950 restaurantes en Santiago;Peruana y Japonesa;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten 
Sapiens;Sapiens es un restaurante tranquilo ubicado en Avenida Italia 1206, Providencia. Contamos con la combinación de ingredientes más saludable y sabrosa para que tu desayuno, almuerzo y cena sean una experiencia consciente y maravillosa. Todos nuestros productos son 100% vegetales.;Restaurante;Gama media;Av. Italia 1206, 7501297 Santiago, Providencia, Región Metropolitana;Providencia;4,6;#235 de 3.950 restaurantes en Santiago;Saludable y vegetariana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten 
Ramen Kintaro;Somos el primer local en Chile dedicado exclusivamente al ramen. Ofrecemos el auténtico ramen japonés con una variedad de sabores, como miso, shio, shoyu, paitan y tonkotsu, entre otros. ¡Sin ramen no hay vida!;Restaurante;Gama media;Monjitas 460, 8320112 Santiago, Región Metropolitana;Santiago;4,2;#119 de 3.950 restaurantes en Santiago;Japonesa y Vegetariana;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Le due torri;No tiene;Restaurante;Más caro;Costanera Sur S.J.E. de Balaguer 6400 Vitacura, Santiago 7640859 Chile;Vitacura;4,4;#63 de 3.950 restaurantes en Santiago;Italiana y Bar;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y  opciones veganas
Restaurant Japon;Ubicado en el corazón de Santiago, nuestro restaurante japonés ofrece una experiencia gastronómica auténtica y sofisticada. En Baron Pierre de Coubertin 39, encontrarás un ambiente acogedor y elegante donde la tradición japonesa se fusiona con ingredientes frescos y de alta calidad.<br /><br />Disfruta de una amplia variedad de platos tradicionales como sushi, sashimi, nigiri, tempura y mucho más, preparados cuidadosamente por chefs expertos. Nuestro compromiso es brindar sabores auténticos que transporten a nuestros comensales directamente a Japón, con un servicio atento y un espacio ideal para compartir momentos especiales.<br /><br />Perfecto para cenas familiares, reuniones de trabajo o celebraciones, nuestro restaurante es un destino imprescindible para los amantes de la cocina japonesa en Santiago.;Restaurante;Gama media;Baron Pierre de Coubertin 39, Santiago 8330021 Chile;Santiago;4,4;#116 de 3.950 restaurantes en Santiago;Japonesa y Sushi;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Meze;Meze es un secreto gastronómico muy bien guardado ubicado en providencia. Llevamos 6 años entregando una variada carta , desde platos vegetarianos, hasta cordero cocinado durante 6 horas , con sabores leales a su cultura , que te transportan a Turquía con solo poner un pie en nuestro restaurante;Restaurante;Gama media;Avenida Manuel Montt 270, Santiago 7500591 Chile;Providencia ;4,2;#129 de 3.950 restaurantes en Santiago;Turca;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
Le Due Torri Isidora;No tiene;Restaurante;Gama media;Isidora Goyenechea 2908, 7550033 Las Condes, Región Metropolitana;Las Condes ;4,2;#87 de 3.950 restaurantes en Santiago;Italiana y Bar;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas 
Olimpia Fuente de Soda & Pizzería;La pizzeria Olimpia es un bar que esta en la mitad de Providencia, entre el paseo Orrego Luco y Pedro de Valdivia. La especialidad son las pizzas a la piedra, hechas con masa italiana y el mejor queso del mercado. En un par de meses se ha transformado en una de las mejores pizzerias de Santiago. El lugar es muy cálido, se rescataron elementos de la famosa Fuente de Soda Kali, que estuvo por más de 40 años en ese mismo lugar. Cuenta con un terraza que da a la Avenida Providencia y la atención es rápida y personalizada.;Restaurante;Gama media;Providencia 2033, Santiago 7510148 Chile;Providencia;4,5;#133 de 3.950 restaurantes en Santiago;Italiana y Bar;Servicio de mesa;Apto para vegetarianos y opciones veganas
Casa Bosque;Casa Bosque esta inserta en la Pre Cordillera de Los Andes a solo 30 minutos de Santiago. En su original construccion se reciclaron más de 8.500 neumáticos en sus paredes y todo recubierto en adobe. Tiene capacidad para atender 300 personas a la carta y 350 para eventos en general. Cuenta con amplios estacionamientos y personal a cargo.;Restaurante;Gama media;Camino Al Volcan 16829, Santiago Chile;San José De Maipo;4,4;#90 de 3.950 restaurantes en Santiago;Churrasquería y Parrilla;Servicio de mesa;Apto para vegetarianos y opciones veganas
Carrer Nou;No tiene;Restaurante;Gama media;José Miguel Claro 1802, Santiago Chile;Providencia;4,5;#59 de 3.950 restaurantes en Santiago;Mediterránea y Española;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Swagat Indian Restaurant;Located in the heart of Santigo. we specialize in the Mughlai and North Indian Cuisine which is prepared with the use of exotic spices. Swagat is contemporary restaurant offering exceptional dining experience;Restaurante;Gama media;Blas Cañas 473 Esquina Carmen a 3 cuadras de metro Sta Lucia, Santiago 7500000 Chile;Santiago;4,9;#183 de 3.950 restaurantes en Santiago;India;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Naoki;No tiene;Restaurante;Más caro;Avenida Vitacura 3875, Santiago 7630000 Chile;Vitacura;4,7;#52 de 3.950 restaurantes en Santiago;Japonesa;Entrega a domicilio y Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Pinpilinpausha;Pinpilinpausha es un clásico de Santiago, ubicado en uno de sus mejores barrios. Especializado en cocina española, destaca por sus exquisitos pescados y mariscos, preparados con ingredientes frescos y auténticos sabores del Mediterráneo. Su decoración y ambiente acogedor lo convierten en el lugar perfecto para disfrutar de una experiencia gastronómica única. La terraza ofrece un espacio ideal al aire libre, y su destacada coctelería complementa la propuesta con tragos creativos y clásicos. Pinpilinpausha no es solo un restaurante, es un ícono que combina tradición, sabor y excelencia en cada visita;Restaurante;Más caro;Isidora Goyenechea 2900, Santiago 7550033 Chile;Las Condes ;4,5;#62 de 3.950 restaurantes en Santiago;Española;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Rivoli;No tiene;Restaurante;Más caro;Nueva De Lyon 77, Santiago 8320000 Chile;Providencia;4,1;#155 de 3.950 restaurantes en Santiago;Italiana;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Maniero Pasta e Mare;No tiene;Restaurante;Gama media;Nueva De Lyon 155 Esquina Andrés Bello, local 101, Santiago 7510078 Chile;Providencia;4,7;#131 de 3.950 restaurantes en Santiago;Italiana;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
