Nombre;Descripción;Tipo;Nivel de precio;Dirección;Comuna;Rating (1-5);Ranking en Santiago;Tipo de cocina;Consumo;Termómetro Vegano
Pizzeria Tiramisu;Tiramisú integra un concepto simple y esencial de la cocina italiana tradicional y rústica. Nuestro concepto, basado en la coherencia de la cultura italiana y las materias primas de las diferentes regiones de Italia, además de la estética del diseño y nuestro énfasis en la atención al cliente, comparte el objetivo de hacer que la experiencia del cliente sea única, todos los días.;Restaurante;Gama media;Isidora Goyenechea 3141, 7550000 Las Condes, Región Metropolitana;Las Condes ;4,4;#89 de 3.950 restaurantes en Santiago;Pizzería, Italiana y Bar;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas
Verde Sazon;Cocina vegetariana de autor ubicada en el singular y folclórico Barrio Italia de Santiago. Verde Sazón ofrece una propuesta única de comida vegetariana: inspirada en diversas cocinas del mundo y con los mejores ingredientes locales, cada plato busca reconfortar y sorprender al paladar. Ofrecemos un bar completo, una gran selección de vinos locales, cerveza artesanal de barril, espresso cuidadosamente elaborado y jugos prensados ​​en frío. Terraza al aire libre y exposición de arte local. ¡Visítenos! ¡Salud!;Restaurante;Gama media;Miguel Claro 1873, 7501414 Providencia, Región Metropolitana;Providencia ;4,5;#170 de 3.950 restaurantes en Santiago;Fusión y Vegetariana;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
44. Le Bistrot de Gaetan;In the heart of Providencia in 2010, Bistromania was born: a simple idea in a welcoming environment mixing old-time gastronomy with the great French classics. By bringing a slice of France to Chile, our goal was to conquer Chilean tastebuds and to take travelling French palates back home with our gourmet dishes in the bistrot style.Gaetan Eonet and his team invite you to their world, a simple space that reminds you of home, to discover or return to those traditional flavors...Welcome and... bon appetit !;Restaurante;Gama media;Santa Magdalena 80 Local 7, Santiago 7500000 Chile;Providencia ;4,6;#56 de 3.950 restaurantes en Santiago;Francesa;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
El Destape Bar;No tiene;Bar;Gama media;Av Manuel Montt 191, Manuel Montt 195, Santiago, Región Metropolitana;Providencia;4,9;#5 de 101 bares y pubs en Santiago;Bar;Servicio de mesa;Opciones veganas
Majestic;Restaurante Majestic es el restaurante indio más antiguo y prestigioso de Santiago. Nuestros platos, preparados con gran dedicación por nuestro chef indio, han sido premiados por los críticos gastronómicos más importantes de Chile y reconocidos internacionalmente. Lo invitamos a disfrutar de una experiencia única para usted y su familia.;Restaurante;Más caro;5600 Presidente Kennedy Avenue at the corner of Luis Carrera, Santiago 8320000 Chile;Vitacura;4,1;#125 de 3.950 restaurantes en Santiago;India y Vegetariana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten 
The Raj Indian Restaurant;Disfruta de lo mejor del sabor de la India En Chile! Somos especialistas en cocina del Sur de la India, también cocinamos lo mejor de la cocina de todo nuestro país. Anímate a venir y no dejes que te lo cuenten;Restaurante;Gama media;Avenida Manuel Montt 1855, Santiago 7501332 Chile;Providencia;4,7;#165 de 3.950 restaurantes en Santiago;India;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Latin Grill;One of the top restaurants in Santiago Chile, the Latin Grill offers locally farmed and sourced meats and fresh Chilean seafood combined with premium Chilean wines. Experience Menu farm to table perfect ambiance quality service.;Restaurante;Más caro;Av. Presidente Kennedy 5741 Dentro del Santiago Marriott Hotel, Santiago 8320000 Chile;Las Condes ;4,7;#46 de 3.950 restaurantes en Santiago;Latina y Mariscos;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Café Med;Taste the local flavors of a Santiago, Chile restaurant with modern ambiance that serves everything from all-American breakfast buffet and different lunch buffets daily to Chilean seafood specialties and Mediterranean fare.;Restaurante;Gama media;Av Presidente Kennedy 5741 Santiago Marriott Hotel, Santiago 8320000 Chile;Las Condes ;4,5;#123 de 3.950 restaurantes en Santiago;Internacional y Mediterránea;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Peztoro;Mediterranean restaurant, you´ll find from pizzas and pastas to delicious Spanish tapas. Delight yourself with beers from around the world and try our French-style preparations;Restaurante;Gama media;José Victorino Lastarria 70 Local 6, Santiago 8320152 Chile;Santiago;4,1;#70 de 3.950 restaurantes en Santiago;Italiana y Bar;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Bocanáriz;Bocanáriz is a “Meeting Place” for tourists and locals who love wine. We are located in the heart of one of the most beautiful heritage districts of the city. We are a Wine bar and at the same time an innovative Restaurant, where the gastronomy has been designed to enhance the pairing with an extensive selection of wines. Attended by its owners and a trained team of sommeliers, the atmosphere is warm and casual, where the magic of an old restored house and the technology necessary to deliver an excellent service. We are a multicultural team that unites our passion for wine. Our team of sommeliers is oriented to guide you in an “Experience around wine”, telling you the story behind each label and its perfect combination with the flavors of our cuisine. Since our inception, we are focused on being the Chilean Wine Showcase, with one of the most extensive and awarded wine lists in our Country (More than 300 chilean wine by bottle, 36 wines by the glass);Restaurante;Gama media;Avenida Jose Victorino Lastarria 276 Santiago Historico, Santiago Chile;Santiago;4,5;#42 de 3.950 restaurantes en Santiago;Mediterránea y Bar;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Saffron Indian Delicacies;La Mejor comida típica de la india en Chile;Restaurante;Gama media;Avenida Nueva Costanera 3664, Santiago 7630000 Chile;Vitacura;4,7;#111 de 3.950 restaurantes en Santiago;India;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y  opciones sin gluten
La Finestra;"La conexión entre dos mundos hace que nazca un proyecto ligado a ideales comunes entre la cultura italiana y la chilena….donde se comulga en un sentido, el gozar con la buena meza y la bella arquitectura. Son simples elementos que unen a personas bajo un concepto de disfrute, donde la cocina artesanal italiana hace un hermoso juego en esta unión cultural, las pastas, pizzas, postres y cocktelería nos presentan los productos que generan la base del cálido ambiente de La Finestra, la ventana que se abre para conocer la mesa italiana, con tradición y estilo.
Al ingresar por el largo pasillo podemos impregnarnos de un poco de historia, romanticismo, belleza, amor por las artes y el cine. Son tres salones que permiten un ambiente ideal para compartir y conocerse bajo la música que resalta la maravillosa labor de nuestro Chef y nuestro maestro pizzero.
Además hay un bello rincón con un pedazo de cielo libre, donde alrededor de las velas y hermosa vegetación se puede disfrutar al aire libre de un spritz, una exquisita tabla, una pizza o unas pastas.
Desde Italia ha llegado el grupo humano que ha generado este ambiente  que nos transporta a esta cautivadora península europea. Sólo hay que ir a la Plaza Ñuñoa e ingresar a esta hermosa casona colonial llamada La Finestra.";Restaurante;Gama media;Avenida Irarrazaval 3465 Ñuñoa, Santiago 7760050 Chile;Ñuñoa;4,5;#94 de 3.950 restaurantes en Santiago;Italiana;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Ciudad Vieja Bellavista;En nuestra Ciudad Vieja, le damos la bienvenida al restaurante en la pintoresca esquina del barrio. Aquí podrá redescubrir el verdadero placer de comer, el sabor sencillo, gratificante y delicioso de la buena comida. Entrar en nuestra Ciudad Vieja significa cruzar el umbral de la cocina tradicional de antaño, donde los deliciosos aromas se arremolinan mágicamente y los sabores evocan experiencias encantadoras, donde la hospitalidad le invita a quedarse más tiempo y a volver siempre. Y son también los ingredientes más sencillos y frescos los que, con modestia, ofrecen los lujosos placeres de la excelente comida. Ciudad Vieja es nuestra cocina, nuestro comedor, el lugar donde le invitamos a sentirse como en casa: a entrar cuando quiera, a comer lo que quiera y como quiera... Y, sobre todo, a hacer de esta Sanguchería su lugar, tanto como lo es el nuestro.;Restaurante;Gama media;Constitución 92;Providencia;4,3;#81 de 3.950 restaurantes en Santiago;Churrasquería y Bar;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas
The Singular Restaurant;Our Executive Chef, Hernán Basso, together with a team of professionals, surprise us with preparations that follow techniques from France but implemented with local produce from our country. A unique and memorable sensorial experience.;Restaurante;Más caro;Merced 294, Santiago 8320128 Chile;Santiago;4,6;#57 de 3.950 restaurantes en Santiago;Internacional y Europea;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Signore;Pizzeria italiana de alta calidad, con restaurant y bar, con todo lo que necesite para vivir la mejor experiencia e uno de los centros financieros de Santiago, al frente de Costanera Center y Hoteles como NH Collection y Double Three.;Restaurante;Gama media;Vitacura 2615, Santiago 7550191 Chile;Las Condes ;4,4;#106 de 3.950 restaurantes en Santiago;Pizzería e Italiana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Sabor y Aroma Restaurante;En Restaurant Sabor y Aroma en La Dehesa, innovamos en la gastronomía peruana para marcar la diferencia que mereces con llamativas recetas e imponentes platos que fusionan la comida peruana y la comida asiática, un hecho poco común que encanta a todo el que la prueba y es que si a la gastronomía antigua de Perú le sumas cientos de años de influencia española y finalmente le añades un toque de cocina asiática de la inmigración del siglo XIX, lograrás tener un plano lleno de sabor e innovación.;Restaurante;Más caro;Av. Raúl Labbé 12559, Santiago 7690554 Chile;Lo Barnechea;4,6;#47 de 3.950 restaurantes en Santiago;Japonesa y Peruana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Ciudadano;No tiene;Restaurante;Gama media;Seminario 400, Santiago 8320000 Chile;Providencia ;4,3;#4 de 101 bares y pubs en Santiago;Pizzería y Bar;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Holy Moly;HOLY MOLY ofrece una auténtica experiencia de hamburguesas americanas. ¡Vegano y vegetariano! ¡Servicio a domicilio! ¡Atención al cliente!;Restaurante;Gama media;Merced 318, Santiago 8320310 Chile;Santiago;4,8;#23 de 3.950 restaurantes en Santiago;Americana y Bar;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
Restauran Bidasoa;No tiene;Restaurante;Gama media;Av Vitacura 4873, Santiago, Vitacura, Región Metropolitana;Vitacura;4,5;#76 de 3.950 restaurantes en Santiago;Vegetariana y Bar;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
New Horizon;No tiene;Restaurante;Económico;Merced 565, Santiago 8320108 Chile;Santiago;4,5;#68 de 3.950 restaurantes en Santiago;India y Vegetariana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Restaurant Bristol;Ven a disfrutar lo mejor de nuestra tierra en el “Mejor Restaurant de Cocina Chilena Moderna 2014” y vive la experiencia que Restaurant Bristol ofrece a través de su exquisita carta gastronómica, que incluye entradas, sopas, platos principales de carnes o pescados y exquisitos postres, que han nacido de nuestro Chef Ejecutivo Axel Manríquez y su brigada de cocina. Trabajamos de la mano de pequeños agricultores que nos entregan productos únicos y enriquecidos para ser preparados por nuestra cocina, permitiéndonos a la vez hacer un trabajo responsable a nivel país. Ubicado en pleno centro de Santiago al entrar en Restaurant Bristol encontrarás un mágico lugar que harán de tus almuerzos de negocios o cenas en familia un momento único. Disfruta de las exquisitas opciones que tenemos para tus almuerzos o cena.;Restaurante;Gama media;Alameda 816 Hotel Plaza San Francisco, Santiago 8330097 Chile;Santiago;4,5;#58 de 3.950 restaurantes en Santiago;Chilena ;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Noso;Savor traditional Chilean - French delicacies with a modern twist at NoSo, W Santiago's sleek signature restaurant. For a unique interactive experience, reserve a spot at the Chef's table and watch our culinary experts prepare you an epicurean feast.;Restaurante;Más caro;Isidora Goyenechea 3000, Las Condes W Santiago, Santiago Chile;Las Condes ;4,5;#54 de 3.950 restaurantes en Santiago;Francesa y Europea;Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Karai by Mitsuharu;Experimente una extravagancia culinaria en el ambiente más selecto. Karai es una versión de la cocina nikkei del aclamado chef Mitsuharu: posibilidades ilimitadas, una original mezcla de sabores, colores e ingredientes frescos con un toque audaz que transportará sus sentidos a una experiencia magnética de excesos y sensaciones vibrantes.;Restaurante;Más caro;W Santiago, Isidora Goyenechea 3000, piso 4, 7550000 Las Condes, Región Metropolitana;Las Condes ;4,8;#18 de 3.950 restaurantes en Santiago;Japonesa y Peruana;Servicio de mesa;Apto para vegetarianos y  opciones veganas
Wonderland Café;Síguenos por la madriguera del conejo y piérdete en un extraño y maravilloso mundo nuevo: Wonderland Café abre sus puertas en pleno Barrio Lastarria. Disfruta de una amplia oferta de café y té, acompañados con pastelería fresca, ensaladas abundantes y sandwiches gourmet. ¡Ah, y no pueden faltar a nuestro té tradicional de las cinco de la tarde! #WonderlandCafe;Cafetería;Gama media;Rosal 361 Barrio Lastarria, Santiago 8320144 Chile;Santiago;4,5;N.º 1 de 338 lugares de café y té en Santiago;Café e Internacional;Comida para llevar y servicio de mesa;Apto para vegetarianos y opciones veganas
Rishtedar Providencia;Un lugar innovador y exótico, pensado para el público adulto, resaltando la extraordinaria gastronomía tradicional de la costa de la India, con platos exclusivos, nos estamos convirtiendo en uno de los sitios favoritos de comida asiática, así como aquellos elementos que nos hacen distintivos, como las hookas (pipas de agua) y los bindis (adhesivo en la frente que representa un tercer ojo).;Restaurante;Gama media;Holanda 160, 7510021 Providencia, Región Metropolitana;Providencia;4,3;#82 de 3.950 restaurantes en Santiago;India e Internacional;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas
El Huerto;Lugar animado, con mesas al aire libre y obras de arte coloridas, donde se ofrecen platos vegetarianos y veganos.;Restaurante;Gama media;Orrego Luco 54, Providencia, Región Metropolitana;Providencia;4,3;#78 de 3.950 restaurantes en Santiago;Vegetariana y Saludable;Comida para llevar y entrega a domicilio;Apto para vegetarianos y  opciones veganas
Domani Pizzeria Napolitana;"Después de buenísimos siete años con Minga, sus parroquianos, ambiente y su buena onda, fue que decidimos profundizar nuestros conocimientos en torno a la estrella de la casa,  la noble pizza.
Esto nos llevó a buscar más allá de nuestras fronteras, viajamos hasta la cuna de la pizza, Nápoles. Bastó sólo unos días para asegurarnos que la pizza ofrecida en ese lugar era realmente especial. Su ligereza, la pasión y el orgullo de los napolitanos por su producto y la calidad de éste, simplemente, nos conquistaron. Fue ahí donde aprendimos a elaborar la verdadera pizza napolitana, en la Associazione Verace Pizza Napolitana AVPN, donde comenzó a surgir la idea de crear “Domani”.
En aquel curso intensivo pudimos aprender las técnicas utilizadas por antiguos puristas napolitanos, conocimos productores de harina, tomate y mozzarella y pusimos en práctica nuestro aprendizaje en dos antiguos establecimientos: Matozzi  fundada en 1833 y AL22 que opera desde 1935.
La experiencia fue increíble. Compartimos y logramos conocer a personas que se toman la pizza en serio y mantienen una tradición de incalculable valor inmaterial. Nos recibieron muy bien y se aseguraron de que nos lleváramos a Chile la receta de la verdadera Napolitana.
Con “Domani”, nuestra intención es trabajar para que nuestros comensales vivan la experiencia de la pizza de Nápoles, la misma que nosotros experimentamos durante nuestro paso por la ciudad, cuna de esta icónica preparación. Los esperaremos con una sencilla carta mediterránea y una pizza preparada con la receta original napolitana.";Restaurante;Gama media;Granaderos 1328, Santiago 7500594 Chile;Providencia;4,6;#44 de 3.950 restaurantes en Santiago;Pizzería e Italiana;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Chipe Libre - República Independiente Del Pisco;Chipe Libre es un Restaurant y Pisco Bar, compuesto por las dos zonas con denominación de origen PISCO en el mundo (Sur del Perú y Norte de Chile). El PISCO, cansado de tantos conflictos entre ambas zonas, entró en rebeldía, movió sus fronteras y creó su propia República Independiente! Tenemos la selección de Piscos Chilenos y Peruanos más grandes y completas de Chile, Coctelería en base a Pisco, coctelería clásica, Vinos, cerveza y otros destilados. Nuestra gastronomía CHIPEÑA se componen de recetas entre Perú y el norte de Chile. Disponible Terraza (fumador), salón interior y barra.;Restaurante;Gama media;Jose Victorino Lastarria 282, Santiago 8320165 Chile;Santiago;4,6;#36 de 3.950 restaurantes en Santiago;Peruana y Latina;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Lila Restaurante;Enfocado en la comida saludable y fast casual ubicado en excelente sector, a pasos de Av. Apoquindo y del Mall Costantera Center;Restaurante;Más caro;2770 Roger De Flor, Santiago 7550179 Chile;Las Condes ;4,8;#65 de 3.950 restaurantes en Santiago;Bar y Contemporánea;Servicio de mesa;Apto para vegetarianos y opciones veganas
Shinsei;Ubicado en nivel –1, Es nuestro restaurante cocina nikkei donde fusiona los platos japoneses con la comida peruana.;Restaurante;Más caro;Avenida Presidente Kennedy 4700 Vitacura, Santiago 7630454 Chile;Las Condes ;4,8;#19 de 3.950 restaurantes en Santiago;Japonesa y Peruana;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Uncle Fletch;No tiene;Restaurante;Gama media;Dardignac 0192 Esquina con Mallinkrodt, Santiago 8320000 Chile;Providencia ;4,6;#27 de 3.950 restaurantes en Santiago;Americana y Bar;Comida para llevar, entrega a domicilio y servicio de mesa;Apto para vegetarianos y opciones veganas
Senso;Se sirve un menú a la carta todos los días para la cena, mientras que, de lunes a viernes, Senso ofrece un almuerzo ejecutivo que incluye un buffet de antipasto, un plato principal y una copa de vino por CLP 19.900. Todos los domingos, disfrute de un brunch familiar del mundo, donde los niños pueden jugar alegremente, supervisados ​​por nuestras niñeras bilingües certificadas. El precio es de CLP 34.500 por adulto, CLP 12.000 por niño de 6 a 12 años y CLP 6.000 por niño de 2 a 5 años. El buffet también incluye una selección de cuatro vinos, dos espumantes, agua y jugos.;Restaurante;Más caro;Presidente Kennedy Avenue, 4601, 7560994, Región Metropolitana;Las Condes ;4,6;#51 de 3.950 restaurantes en Santiago;Italiana y Vegetariana;Servicio de mesa;Apto para vegetarianos y  opciones veganas 
Krossbar Orrego Luco;¡Bienvenidos a Krossbar Orrego Luco! Bar de cervecería Kross, donde ofrecemos más de 20 cervezas en schop y 40 en botella. ¿Buscas variedad? Puedes disfrutar de diversos estilos de cervecerías invitadas nacionales e internacionales. Especializados en comida y coctelería con cerveza, nuestro equipo te recomendará los mejores maridajes según los platos que tenemos. Ven a disfrutar del mejor ambiente y prueba nuestras exclusivas cervezas de la línea experimental de cervecería Kross. ¡Esperamos que disfrutes tu visita!;Restaurante y Bar;Gama media;Orrego Luco 066, Santiago Chile;Providencia;4,7;#8 de 3.950 restaurantes en Santiago;Latina y Cervecería;Comida para llevar y servicio de mesa;Opciones veganas
Tanaka;Rescatamos los exquisitos sabores de la comida japonesa y peruana. Te esperamos en un espacio moderno y cálido, junto a la mejor atención.;Restaurante;Más caro;Alonso De Cordova 4248, Santiago 7630504 Chile;Vitacura;4,7;#7 de 3.950 restaurantes en Santiago;Japonesa y Peruana;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
La Fabbrica Egaña;No tiene;Restaurante;Gama media;Av. Ossa 123, 7870151 La Reina, Región Metropolitana;La Reina;4,6;#38 de 3.950 restaurantes en Santiago;Pizzería e Italiana;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas
Castillo Forestal;"""Brasserie francaise"" dentro de un monumento nacional, en el centro de Santiago. Comida francesa con productos chilenos. Maravillosa terraza con vista al Parque Forestal y al Museo de Bellas Artes.";Restaurante;Gama media;Av. Cardenal José María Caro 390, Santiago 8320054 Chile;Santiago;4,5;#45 de 3.950 restaurantes en Santiago;Francesa e Internacional;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Rishtedar;Un lugar innovador y exótico, pensado para adultos, que destaca la extraordinaria cocina tradicional de la costa de la India, con platos exclusivos. Nos estamos convirtiendo en uno de los sitios favoritos de comida asiática. Admitimos mascotas.;Restaurante;Gama media;Vitacura 5461, Santiago 7630598 Chile;Vitacura;4,6;#53 de 3.950 restaurantes en Santiago;India e Internacional;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas
Catae Restaurante;El restaurante Catae del Hotel Renaissance Santiago le permite experimentar la cultura sudamericana y saborear deliciosos platos y vinos galardonados. Gracias a la decoración autóctona de Catae, se sentirá rodeado de colores y texturas que lo transportarán a un mundo diferente.;Restaurante;Más caro;Av. Pdte. Kennedy 4700, 7630454 Santiago, Vitacura, Región Metropolitana;Vitacura;4,7;#10 de 3.950 restaurantes en Santiago;Mediterránea e Internacional;Servicio de mesa;Apto para vegetarianos y  opciones veganas 
Quinoa ;Quinoa es un restaurante vegetariano y vegano fundado en 2010. Ofrecemos desayuno, brunch, almuerzo, cafetería, merienda y cena, además de comida para llevar y a domicilio. Nuestra cocina tiene influencias mediterráneas, latinoamericanas y orientales. Entre los platos más destacados se encuentran la ensalada de quinoa roja, la lasaña de berenjena, el mezze, los burritos y nuestro pad thai. Abrimos de lunes a domingo.;Restaurante;Gama media;Luis Pasteur 5393;Vitacura;4,5;#50 de 3.950 restaurantes en Santiago;Latina y Saludable;Comida para llevar y servicio de mesa;Apto para vegetarianos y  opciones veganas
Estró Santiago;Chile, its wide coast and extensive geography keeps hidden culinary treasures we bring to our guests from their origin to our kitchen under the concept of “New Chilean Cuisine”. Sustainable ingredients and fresh daily products show the visitor new flavours and textures, guaranteeing their freshness. Estró invites you on a journey through Chile and its culture with the best service in Santiago.;Restaurante;Más caro;El Alcalde 15, Santiago 7550655 Chile;Las Condes ;4,6;#43 de 3.950 restaurantes en Santiago;Internacional y Bar;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Krossbar Mall Sport;Laguna Mall Sport;Restaurante;Más caro;Av. Las Condes 13451 Local L108, Santiago 7590923 Chile;Las Condes ;4,9;#17 de 3.950 restaurantes en Santiago;Cervecería y Bar;Comida para llevar y servicio de mesa;Opciones veganas
Zanzíbar;Te invitamos a realizar un viaje alrededor del mundo, ofreciendo platos tailandeses, marroquíes, vietnamitas, japoneses, pakistaníes, libaneses y otros de tierras lejanas en una decoración exótica con la azotea más popular de la ciudad.;Cafetería;Más caro;San J.M. Escrivá de Balaguer 6400, Santiago 7640859 Chile;Vitacura;4,7;#9 de 3.950 restaurantes en Santiago;Marroquí y Mediterránea;Comida para llevar y servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten
Chilean Brunch;Chilean Brunch es un espacio que te mostrará Chile en un solo plato, queremos que tengas un tour gastronómico y cultural sobre los sabores de Chile, con una sola visita, honraremos la memoria de sus fundadores Yolanda y Roberto quienes dejaron su alma en este lugar, y juntos ,respiraremos arte, música y gastronomía;Restaurante;Gama media;Ernesto Pinto Lagarrigue 191, Santiago 8420496 Chile;Recoleta;5;#1 de 3.950 restaurantes en Santiago;Café y Saludable;Entrega a domicilio y Servicio de mesa;Apto para vegetarianos, opciones veganas y opciones sin gluten