A�o ;Marca ;;VEGGIE;BURGER;;A�O;MARCA
2009;Mister Veggie;2009;1;0;;2010;Burger Inn
2015;Tentaci�n vegana;2010;0;4;;2010;Mr Jack 
2016;"

GO! VEGAN";2011;0;7;;2010;MISTER BURGER
2016;VEGGIEPOPS!;2012;0;7;;2010;WHOPPER BK 
2016;Carozzi Veggie;2013;0;2;;2011;Preppy burguer 
2016;"

VIVO VEGGIE";2014;0;0;;2011;BURGER LOUNGE SANTABRASA PREMIUM BURGUERS
2016;"

VEGGIETIME";2015;1;5;;2011;DELYBURGER
2016;VEGGIECHOP;2016;6;9;;2011;Burger Kings (BK)
2017;VEGGIE ANIMALS PIENSO NATURAL PIENSA NATURAL;2017;2;6;;2011;TENDERCRISP (BK)
2017;NAKED BERRY VEGGIE;2018;3;4;;2011;TenderGrill  (BK)
2018;E ECOTERRA VEGANESA;2019;1;13;;2011;Whopper Furioso (BK)
2018;"

Vegan�polis Chile";2020;18;17;;2012;SMASHBURGER
2018;LA CASA DEL VEGAN;2021;16;5;;2012;ROYALE BURGER
2019;THE VEGETARIAN BUTCHER;2022;10;5;;2012;KOMBIBURGER
2020;VEGAN V BeVeg!;2023;4;12;;2012;THE ONE OF A KIND BURGER FACTORY
2020;VEGAN V BevVeg!;2024;3;26;;2012;MCBURGER
2020;BIOVEGAN;2025;8;18;;2012;LA CRIANZA MASTODONTE UNA HAMBURGUESA CON HISTORIA
2020;"

VeganVega_";;;;;2012;SYBER HAMBURGUESAS S.A.
2020;RECETA DEL ABUELO VEGAN BURGER;;;;;2013;SHACK BURGER
2020;Vive Vegano;;;;;2013;CHORIBURGER
2020;Veganfit;;;;;2015;BURGER HOME
2020;Entre Veganos & Cel�acos;;;;;2015;Roof Burger
2020;VEGAN FORMULA;;;;;2015;ROCKHAMBURGER
2020;VEGAN;;;;;2015;THE BURGER LAB
2020;VEGGIELAND;;;;;2015;BB BURGER BAR
2020;Veggie Deli;;;;;2016;MOGAMBO BURGER & GRILL
2020;GREEN AND VEGGIE;;;;;2016;WALLY'S BURGERS, FRIES & SHAKES
2020;Veggie sol;;;;;2016;SAN JORGE �AMM! BURGERJAM�N
2020;BLOODY VEGGIE;;;;;2016;SAN JORGE �AMM! BURGERPIZZA
2020;NATURE COMPLEX VEGGIE MILKE;;;;;2016;BURGER TRUCK
2020;Plant Based TAYO;;;;;2016;CASTILLO HAMBURGER
2020;VEGS HOLY MOLY;;;;;2016;MAFIA BURGER
2021;Vegan Dealer;;;;;2016;Burgeria
2021;HAPPY VEGAN;;;;;2016;STREAT BURGERY
2021;VEGAN FOX GOOD BURGER;;;;;2017;MOSTAZA HAMBURGUESAS EN SERIO
2021;V DE VEGANO;;;;;2017;SMASHBURGER
2021;Vegan Brothers;;;;;2017;THICKBURGER
2021;El Tio Vegano maestro con sabor;;;;;2017;HAMBURGUESA SURE�A KING
2021;VEGANO SAURIOS;;;;;2017;BURGS HAMBURGUESAS CON ACTITUD
2021;BANDITO VEGAN;;;;;2017;BURGER CLUB
2021;THE GOOD VEGAN;;;;;2018;KING JR
2021;MISTER SABOR;;;;;2018;BR Burger Republic
2021;UN RINC�N VEGANO;;;;;2018;MATT'S - BURGER
2021;VEGGIE MAN�A;;;;;2018;T�o Burger
2021;VEGGIE LUNCH V.C.H FELICIDAD ALIMENTICIA;;;;;2019;PATAGONIA BURGER
2021;LA GLORIOSA VEGGIE;;;;;2019;SAN JORGE BRONTO BURGER
2021;#LA PARRILLA VEGGIE;;;;;2019;Burger Creations
2021;VIVO FRUTA & VEGGIE;;;;;2019;SORRYBURGERS
2022;AV AMORE VEGANO;;;;;2019;Dynos Pizzeria Burger
2022;mis amigos veganos;;;;;2019;Bestias Burger
2022;Vegan Summer;;;;;2019;BANG BURGERS
2022;VEGAN MOBILE;;;;;2019;X NOTCO NOT BURGER
2022;RECETA DEL ABUELO VEGAN BIF;;;;;2019;BURGERS & DREAMS
2022;VEGAN PLACE;;;;;2019;"

BURGER GUMP"
2022;Big Vegan ;;;;;2019;123 BURGER ISTL
2022;Frutos del Maipo Plant Based Veggie;;;;;2019;Western Burger
2022;Frutos del Maipo Veggie;;;;;2019;HALSEY BURGER
2022;Natyk Plant Based Foods;;;;;2020;"

Burgery Dogs"
2023;BBV Bueno Bonito Vegano;;;;;2020;BASTAD BURGER CHILE
2023;VEGANPOWER;;;;;2020;STATION BURGER
2023;Quokka productos veganos;;;;;2020;Tinto's Burger Fast Food MS&AR
2023;VIVO N�CTAR FRUTAS & VEGGIE;;;;;2020;JOHNNY 100 BURGERS & HOT DOGS
2024;"

Sushi vegano gato verde";;;;;2020;Oh My Burger
2024;VeganFresh! Helader�a consciente;;;;;2020;MIT Burger
2024;MISTER VEGGIE;;;;;2020;kopaburgers
2025;Minuto Veggie;;;;;2020;Burger Bros
2025;V VEGAN MEAT I'M LOVIN'THEM;;;;;2020;RANDY'S BURGER
2025;Green cats vegan sushi;;;;;2020;Rego�s Burger
2025;VEGAN FER;;;;;2020;Los raulies 1501, San Pedro de La Paz
2025;Floridavegan;;;;;2020;RECETA DEL ABUELO VEGAN BURGER
2025;VeganFresh! Helader�a consciente;;;;;2020;VC Vicio Capital Burgerbar
2025;Smile Vegan;;;;;2020;REDBURGER
2025;Helados Retrovegan;;;;;2020;CONCHETUBURGER
;;;;;;2020;BAYSIDE BURGERS N� SHAKES
;;;;;;2021;New Burger City
;;;;;;2021;JUST B BURGERS
;;;;;;2021;Burger Beats
;;;;;;2021;BAKN BURGER SPORT BAR CAF�
;;;;;;2021;X BURGER & FRIES
;;;;;;2022;TCB BIKE & BEER THE CRAFT BURGER
;;;;;;2022;Burger Co.
;;;;;;2022;BLEND BURGER THE REAL AMERICAN BURGER
;;;;;;2022;the lake burger hamburguesas y algo m�s
;;;;;;2022;HOME RUN BURGER
;;;;;;2023;BOMBO BURGER
;;;;;;2023;BIT POINT BURGER
;;;;;;2023;Burger House
;;;;;;2023;The CORNER BURGER HOUSE
;;;;;;2023;HEISENBURGER
;;;;;;2023;BURGER ROCKS NOT SO BASIC
;;;;;;2023;MAIKU Sushi y Burger
;;;;;;2023;PRESLEY'S BURGER
;;;;;;2023;THE BURGER JUNGLE
;;;;;;2023;CHAMO BURGER
;;;;;;2023;Burger Diplomatico
;;;;;;2023;Burger sin censura
;;;;;;2024;OCHO BURGER
;;;;;;2024;PRIMO�S BURGERS
;;;;;;2024;Burger Up
;;;;;;2024;Burger Planet
;;;;;;2024;GLAD TO MEAT YOU BURGER
;;;;;;2024;BURGER 7
;;;;;;2024;Quirozburger
;;;;;;2024;DAD'S BURGER
;;;;;;2024;DR.BURGER
;;;;;;2024;Olivari Burger
;;;;;;2024;BURGER TAGLIO
;;;;;;2024;Alley Burger
;;;;;;2024;Happy Burger
;;;;;;2024;BURGER'S SMASH BROTHERS
;;;;;;2024;WICK�S BURGER
;;;;;;2024;STARBURGER
;;;;;;2024;FATBURGER
;;;;;;2024;INTBURGER
;;;;;;2024;HOTT BURGER
;;;;;;2024;Bigbossburger
;;;;;;2024;A lo Mat�n SUSHI & BURGER
;;;;;;2024;Burgerg�nico
;;;;;;2024;MURPHY BURGER
;;;;;;2024;Los Fundadores Authentic Sandwich & Burger
;;;;;;2024;MASH BURGER American Smash Burger
;;;;;;2024;GARDEN BURGER
;;;;;;2025;INKA BURGER
;;;;;;2025;UB URBAN BURGER
;;;;;;2025;OTRA BURGER NO IDENTIFICADA
;;;;;;2025;OKLAHOMA BURGERS & RIBS
;;;;;;2025;KLASSER BURGER KB
;;;;;;2025;La Certera burger
;;;;;;2025;Inatti burger
;;;;;;2025;Pits- Burger/ Fast&Food
;;;;;;2025;Gerry's Best Burgers, & Shakes
;;;;;;2025;Cheese burger
;;;;;;2025;Sahori Sushi and Burger Since 2023
;;;;;;2025;Paranoid Burger
;;;;;;2025;BURGOS BURGER BAR BBB
;;;;;;2025;Smartburger
;;;;;;2025;Yuyo Burger
;;;;;;2025;BOSS BURGER
;;;;;;2025;Gocho Burgers
;;;;;;2025;BURGERMAN�A
